0.1063 1.9082 0.5 O
0.6063 1.4082 0.75 O
0.8937 1.9082 0.5 O
0.3937 1.4082 0.75 O
0.0 1.2094 0.5 O
0.5 1.7094 0.75 O
0.0 1.7906 0.5 O
0.5 1.2906 0.75 O
0.2041 1.0 0.58715 O
0.7041 1.5 0.83715 O
0.7959 1.0 0.58715 O
0.2959 1.5 0.83715 O
0.7959 1.0 0.91285 O
0.2959 1.5 0.66285 O
0.2041 1.0 0.91285 O
0.7041 1.5 0.66285 O
0.2529 1.0 0.75 O
0.7529 1.5 0.5 O
0.7471 1.0 0.75 O
0.2471 1.5 0.5 O
0.3244 1.2018 0.6032 Si
0.8244 1.7018 0.8532 Si
0.6756 1.2018 0.6032 Si
0.1756 1.7018 0.8532 Si
0.3244 1.7982 0.6032 Si
0.8244 1.2982 0.8532 Si
0.6756 1.7982 0.6032 Si
0.1756 1.2982 0.8532 Si
0.6756 1.7982 0.8968 Si
0.1756 1.2982 0.6468 Si
0.3244 1.7982 0.8968 Si
0.8244 1.2982 0.6468 Si
0.6756 1.2018 0.8968 Si
0.1756 1.7018 0.6468 Si
0.3244 1.2018 0.8968 Si
0.8244 1.7018 0.6468 Si
0.0843 1.2004 0.5 Si
0.5843 1.7004000000000001 0.75 Si
0.9157 1.2004 0.5 Si
0.4157 1.7004000000000001 0.75 Si
0.0843 1.7995999999999999 0.5 Si
0.5843 1.2995999999999999 0.75 Si
0.9157 1.7995999999999999 0.5 Si
0.4157 1.2995999999999999 0.75 Si
0.2743 1.0 0.64675 Si
0.7743 1.5 0.89675 Si
0.7257 1.0 0.64675 Si
0.2257 1.5 0.89675 Si
0.7257 1.0 0.85325 Si
0.2257 1.5 0.60325 Si
0.2743 1.0 0.85325 Si
0.7743 1.5 0.60325 Si
0.1553 1.0 0.5 Si
0.6553 1.5 0.75 Si
0.8447 1.0 0.5 Si
0.3447 1.5 0.75 Si
1.3201 1.0918 0.12505 O
1.8201 1.5918 0.37505 O
1.6799 1.0918 0.12505 O
1.1799 1.5918 0.37505 O
1.3201 1.9082 0.12505 O
1.8201 1.4082 0.37505 O
1.6799 1.9082 0.12505 O
1.1799 1.4082 0.37505 O
1.6799 1.9082 0.37495 O
1.1799 1.4082 0.12495 O
1.3201 1.9082 0.37495 O
1.8201 1.4082 0.12495 O
1.6799 1.0918 0.37495 O
1.1799 1.5918 0.12495 O
1.3201 1.0918 0.37495 O
1.8201 1.5918 0.12495 O
1.3848 1.2493 0.16285 O
1.8848 1.7492999999999999 0.41285 O
1.6152 1.2493 0.16285 O
1.1152 1.7492999999999999 0.41285 O
1.3848 1.7507000000000001 0.16285 O
1.8848 1.2507 0.41285 O
1.6152 1.7507000000000001 0.16285 O
1.1152 1.2507 0.41285 O
1.6152 1.7507000000000001 0.33715 O
1.1152 1.2507 0.08715 O
1.3848 1.7507000000000001 0.33715 O
1.8848 1.2507 0.08715 O
1.6152 1.2493 0.33715 O
1.1152 1.7492999999999999 0.08715 O
1.3848 1.2493 0.33715 O
1.8848 1.7492999999999999 0.08715 O
1.3429 1.2162 0.0 O
1.8429 1.7162 0.25 O
1.6571 1.2162 0.0 O
1.1571 1.7162 0.25 O
1.3429 1.7838 0.0 O
1.8429 1.2838 0.25 O
1.6571 1.7838 0.0 O
1.1571 1.2838 0.25 O
1.25 1.25 0.125 O
1.75 1.75 0.375 O
1.75 1.25 0.125 O
1.25 1.75 0.375 O
1.25 1.75 0.125 O
1.75 1.25 0.375 O
1.75 1.75 0.125 O
1.25 1.25 0.375 O
1.1063 1.0918 0.0 O
1.6063 1.5918 0.25 O
1.8937 1.0918 0.0 O
1.3937 1.5918 0.25 O
1.1063 1.9082 0.0 O
1.6063 1.4082 0.25 O
1.8937 1.9082 0.0 O
1.3937 1.4082 0.25 O
1.0 1.2094 0.0 O
1.5 1.7094 0.25 O
1.0 1.7906 0.0 O
1.5 1.2906 0.25 O
1.2041 1.0 0.08715 O
1.7041 1.5 0.33715 O
1.7959 1.0 0.08715 O
1.2959 1.5 0.33715 O
1.7959 1.0 0.41285 O
1.2959 1.5 0.16285 O
1.2041 1.0 0.41285 O
1.7041 1.5 0.16285 O
1.2529 1.0 0.25 O
1.7529 1.5 0.0 O
1.7471 1.0 0.25 O
1.2471 1.5 0.0 O
1.3244 1.2018 0.1032 Si
1.8244 1.7018 0.3532 Si
1.6756 1.2018 0.1032 Si
1.1756 1.7018 0.3532 Si
1.3244 1.7982 0.1032 Si
1.8244 1.2982 0.3532 Si
1.6756 1.7982 0.1032 Si
1.1756 1.2982 0.3532 Si
1.6756 1.7982 0.3968 Si
1.1756 1.2982 0.1468 Si
1.3244 1.7982 0.3968 Si
1.8244 1.2982 0.1468 Si
